task_id,run_id,code_commit,step_id,anchor_state,target_dimension,child_state,W,q,K,required_dimensions,denominator_scope,N,n11,n10,n01,n00,anchor_true_count,anchor_false_count,target_true_count,target_false_count,child_true_count,anchor_rate,target_marginal_rate,child_joint_rate,retention,nonanchor_target_rate,lift,delta,delta_nonanchor,independence_expected_joint_rate,joint_excess,retention_denominator_zero,lift_denominator_zero,nonanchor_denominator_zero,nonzero_year_count,positive_delta_year_count,negative_delta_year_count,undefined_year_count,max_year_denominator_share,pooled_vs_year_median_sign_consistency,association_direction,warnings
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,T_GIVEN_PC,S_PC,T,S_PCT,120,0.2,not_applicable,"P,C,T",step_specific_minimal_common_valid,1563558,39800,105233,200029,1218496,145033,1418525,239829,1323729,39800,0.09275831149212245,0.15338669879850955,0.02545476407015282,0.27442030434452847,0.14101196665550483,1.789074975171152,0.12103360554601891,0.13340833768902363,0.014227891185900513,0.011226872884252306,false,false,false,11,11,0,0,0.12129131122734174,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,T_GIVEN_PC,S_PC,T,S_PCT,120,0.3,not_applicable,"P,C,T",step_specific_minimal_common_valid,1563558,102437,148711,297015,1015395,251148,1312410,399452,1164106,102437,0.16062595695202864,0.25547629189323323,0.06551531826769458,0.40787503782630163,0.22631266143964157,1.5965279392608287,0.1523987459330684,0.18156237638666006,0.041036123863906385,0.024479194403788193,false,false,false,11,11,0,0,0.12129131122734174,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,T_GIVEN_PC,S_PC,T,S_PCT,250,0.1,not_applicable,"P,C,T",step_specific_minimal_common_valid,1460423,5427,46540,67684,1340772,51967,1408456,73111,1387312,5427,0.035583526142768225,0.05006152327099751,0.0037160466522370575,0.10443165855254297,0.04805545931147299,2.086066338557542,0.054370135281545454,0.05637619924106998,0.0017813655220603399,0.0019346811301767177,false,false,false,10,10,0,0,0.1290235774155844,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,T_GIVEN_PC,S_PC,T,S_PCT,250,0.2,not_applicable,"P,C,T",step_specific_minimal_common_valid,1460423,34615,98160,181561,1146087,132775,1327648,216176,1244247,34615,0.09091544025258436,0.14802286734733705,0.023702037012564167,0.26070419883261153,0.1367538684952638,1.7612427289417836,0.11268133148527448,0.12395033033734773,0.013457564152333042,0.010244472860231125,false,false,false,10,10,0,0,0.1290235774155844,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,T_GIVEN_PC,S_PC,T,S_PCT,250,0.3,not_applicable,"P,C,T",step_specific_minimal_common_valid,1460423,92041,139968,276620,951794,232009,1228414,368661,1091762,92041,0.15886424686546294,0.2524343974314291,0.0630235212674684,0.39671305854514266,0.22518466901223855,1.5715491334848897,0.14427866111371357,0.1715283895329041,0.040102800430880936,0.022920720836587458,false,false,false,10,10,0,0,0.1290235774155844,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,T_GIVEN_PC,S_PC,T,S_PCT,500,0.1,not_applicable,"P,C,T",step_specific_minimal_common_valid,1263482,4637,42833,55499,1160513,47470,1216012,60136,1203346,4637,0.037570776631562615,0.04759545446630819,0.003670016668223212,0.09768274699810407,0.0456401746035401,2.0523545387564606,0.050087292531795884,0.052042572394563974,0.0017881981884313742,0.0018818184797918377,false,false,false,9,9,0,0,0.14590947872625015,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,T_GIVEN_PC,S_PC,T,S_PCT,500,0.2,not_applicable,"P,C,T",step_specific_minimal_common_valid,1263482,30702,92775,154112,985893,123477,1140005,184814,1078668,30702,0.09772754973952934,0.14627355197778835,0.024299515149404583,0.24864549673218495,0.13518537199398248,1.6998664035309798,0.1023719447543966,0.11346012473820247,0.014294955826486941,0.010004559322917642,false,false,false,9,9,0,0,0.14590947872625015,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,T_GIVEN_PC,S_PC,T,S_PCT,500,0.3,not_applicable,"P,C,T",step_specific_minimal_common_valid,1263482,82661,130250,236388,814183,212911,1050571,319049,944433,82661,0.16851130447446025,0.25251566702177,0.06542317183782595,0.3882420354044648,0.2250090664981234,1.5374968214189795,0.1357263683826948,0.16323296890634137,0.0425517444500769,0.022871427387749048,false,false,false,9,9,0,0,0.14590947872625015,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,V_GIVEN_PCT,S_PCT,V,S_PCVT,120,0.1,not_applicable,"P,C,T,V",step_specific_minimal_common_valid,1545035,1143,5345,143274,1395273,6488,1538547,144417,1400618,1143,0.004199257621995618,0.09347166892659389,0.0007397890662671072,0.17617139334155363,0.09312292702140396,1.884757118008734,0.08269972441495974,0.08304846632014967,0.00039251161818065034,0.00034727744808645683,false,false,false,11,11,0,0,0.12243994472617126,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,V_GIVEN_PCT,S_PCT,V,S_PCVT,120,0.2,not_applicable,"P,C,T,V",step_specific_minimal_common_valid,1545035,10768,27992,245405,1260870,38760,1506275,256173,1288862,10768,0.025086810331157547,0.16580401091237415,0.0069694214046930976,0.27781217750257997,0.16292177723191317,1.6755455792284848,0.11200816659020582,0.1148904002706668,0.0041594937739039065,0.002809927630789191,false,false,false,11,11,0,0,0.12243994472617126,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,V_GIVEN_PCT,S_PCT,V,S_PCVT,120,0.3,not_applicable,"P,C,T,V",step_specific_minimal_common_valid,1545035,39199,60987,343136,1101713,100186,1444849,382335,1162700,39199,0.06484383848909572,0.24746041351814035,0.02537094628924264,0.39126225221088773,0.23748917706971456,1.5811104760083408,0.14380183869274737,0.15377307514117317,0.016046283086615133,0.009324663202627505,false,false,false,11,11,0,0,0.12243994472617126,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,V_GIVEN_PCT,S_PCT,V,S_PCVT,250,0.1,not_applicable,"P,C,T,V",step_specific_minimal_common_valid,1442412,612,4753,89464,1347583,5365,1437047,90076,1352336,612,0.0037194643416721437,0.062448177081166824,0.0004242893153967105,0.11407269338303822,0.06225544467230369,1.8266777144635076,0.05162451630187139,0.05181724871073452,0.0002322737678558276,0.00019201554754088288,false,false,false,10,10,0,0,0.13030257651766625,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,V_GIVEN_PCT,S_PCT,V,S_PCVT,250,0.2,not_applicable,"P,C,T,V",step_specific_minimal_common_valid,1442412,7860,26450,179168,1228934,34310,1408102,187028,1255384,7860,0.02378654642362931,0.1296633694117908,0.005449205913428341,0.22908772952491985,0.1272407822728751,1.7667883424914916,0.09942436011312905,0.10184694725204474,0.0030842437559577586,0.0023649621574705825,false,false,false,10,10,0,0,0.13030257651766625,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,V_GIVEN_PCT,S_PCT,V,S_PCVT,250,0.3,not_applicable,"P,C,T,V",step_specific_minimal_common_valid,1442412,31445,59629,266899,1084439,91074,1351338,298344,1144068,31445,0.06314007370986931,0.2068368815567258,0.021800290069688828,0.3452686826097459,0.19750721137124835,1.6692800626809619,0.1384318010530201,0.14776147123849756,0.013059695947411175,0.008740594122277652,false,false,false,10,10,0,0,0.13030257651766625,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,V_GIVEN_PCT,S_PCT,V,S_PCVT,500,0.1,not_applicable,"P,C,T,V",step_specific_minimal_common_valid,1246284,464,4130,56081,1185609,4594,1241690,56545,1189739,464,0.0036861582111300476,0.04537087854774674,0.0003723067936361215,0.10100130605137135,0.045165057300936624,2.226126301369304,0.05563042750362461,0.055836248750434726,0.00016724423650496078,0.0002050625571311607,false,false,false,9,9,0,0,0.14728986330563498,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,V_GIVEN_PCT,S_PCT,V,S_PCVT,500,0.2,not_applicable,"P,C,T,V",step_specific_minimal_common_valid,1246284,6159,24211,123329,1092585,30370,1215914,129488,1116796,6159,0.024368442505881483,0.10389927175507348,0.004941891254320845,0.2027988146196905,0.10142904843599136,1.9518790766672305,0.09889954286461701,0.10136976618369913,0.0025318634301664637,0.0024100278241543814,false,false,false,9,9,0,0,0.14728986330563498,true,positive_same_time_association,""
R1-T06,R1-T06-20260710T1155Z,e98a529e1c828ed4b7ce9fdad24f4120717ef533,V_GIVEN_PCT,S_PCT,V,S_PCVT,500,0.3,not_applicable,"P,C,T,V",step_specific_minimal_common_valid,1246284,25479,56202,192889,971714,81681,1164603,218368,1027916,25479,0.06553963623058628,0.17521527998433745,0.020443975851411073,0.31193300767620374,0.16562639800859177,1.780284274887941,0.1367177276918663,0.14630660966761197,0.011483545712213803,0.00896043013919727,false,false,false,9,9,0,0,0.14728986330563498,true,positive_same_time_association,""
