metric_id,entity_level,numerator,denominator,deduplication_key,included_rows,excluded_rows,open_event_policy,denominator_scope,expected_parameter_response,hard_gate_usage,null_or_zero_denominator_policy
post_merge_short_zone_rate,event_zone,count zones where qualified_confirmed_day_count<d,qualified_event_count,event_id,rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events included; legal value zero,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
bridged_gap_count,bridge_segment,count adjacent merged-interval false-gap segments,not_applicable,"event_id,left_interval_id,right_interval_id",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",observed bridges in open events included,own_eligible; overlap metrics use common_W120_W250 within state_line and role,fixed d: nondecreasing as g increases,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
bridged_day_count,eligible_day,count distinct eligible confirmed-false bridge keys,not_applicable,"event_id,security_id,trade_date",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",observed bridges in open events included,own_eligible; overlap metrics use common_W120_W250 within state_line and role,fixed d: nondecreasing as g increases,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
bridged_day_ratio,eligible_day,bridged_day_count,zone_span_days,"event_id,security_id,trade_date",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",observed open-zone span included,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,direct hard-gate input,return null and null_reason; hard-gate inputs fail closed
merge_ratio,confirmed_interval,qualified_interval_count-qualified_event_count,qualified_interval_count,"confirmed_interval_id,d,g",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events included,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,direct hard-gate input,return null and null_reason; hard-gate inputs fail closed
duration_mean,closed_event,arithmetic mean closed zone_span_days,closed qualified events,event_id,rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events excluded,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
duration_median,closed_event,median closed zone_span_days,closed qualified events,event_id,rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events excluded,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
duration_q90,closed_event,nearest-rank q90 closed zone_span_days,closed qualified events,event_id,rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events excluded,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
duration_q95,closed_event,nearest-rank q95 closed zone_span_days,closed qualified events,event_id,rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events excluded,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,direct hard-gate input,return null and null_reason; hard-gate inputs fail closed
confirmed_duration_mean,closed_event,arithmetic mean closed qualified_confirmed_day_count,closed qualified events,event_id,rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events excluded,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
confirmed_duration_median,closed_event,median closed qualified_confirmed_day_count,closed qualified events,event_id,rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events excluded,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
confirmed_duration_q90,closed_event,nearest-rank q90 closed qualified_confirmed_day_count,closed qualified events,event_id,rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events excluded,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
confirmed_duration_q95,closed_event,nearest-rank q95 closed qualified_confirmed_day_count,closed qualified events,event_id,rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events excluded,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
open_event_count,event_zone,count events where zone_finalization_time is null,not_applicable,event_id,rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events are numerator,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
open_event_ratio,event_zone,open_event_count,qualified_event_count,event_id,rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events are numerator,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,direct hard-gate input,return null and null_reason; hard-gate inputs fail closed
events_per_year,qualification_year,count distinct events grouped by year(first_qualification_time),not_applicable,"event_id,qualification_year",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events included,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
nonzero_years,qualification_year,count years where events_per_year>0,not_applicable,qualification_year,rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events included,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,direct hard-gate input,return null and null_reason; hard-gate inputs fail closed
max_year_share,qualification_year,maximum events_per_year,qualified_event_count,"event_id,qualification_year",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events included,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,direct hard-gate input,return null and null_reason; hard-gate inputs fail closed
events_per_security_mean,security,arithmetic mean event counts over event-bearing securities,event-bearing securities,"route_id,security_id,event_id",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events included,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
events_per_security_median,security,median event counts over event-bearing securities,event-bearing securities,"route_id,security_id,event_id",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events included,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
events_per_security_q90,security,nearest-rank q90 event counts over event-bearing securities,event-bearing securities,"route_id,security_id,event_id",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events included,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
within_route_overlapping_event_count,eligible_day,count route/security/day keys belonging to more than one event,not_applicable,"route_id,security_id,trade_date,event_id",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",observed open-zone members included,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,direct hard-gate input,return null and null_reason; hard-gate inputs fail closed
intersection_confirmed_days,common_day,count confirmed keys in both paired W120 and W250,not_applicable,"state_line,role,security_id,trade_date",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",event status not applicable,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
W120_only_confirmed_days,common_day,count confirmed keys in W120 minus W250,not_applicable,"state_line,role,security_id,trade_date",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",event status not applicable,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
W250_only_confirmed_days,common_day,count confirmed keys in W250 minus W120,not_applicable,"state_line,role,security_id,trade_date",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",event status not applicable,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
confirmed_day_jaccard,common_day,intersection_confirmed_days,count confirmed keys in W120 union W250,"state_line,role,security_id,trade_date",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",event status not applicable,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
matched_event_count,event_pair,count one-to-one event pairs maximizing overlap then minimizing qualification-time distance,not_applicable,"state_line,role,W120_event_id,W250_event_id",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events eligible using observed members,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
overlapping_event_count,event_pair,count cross-window event pairs sharing at least one confirmed day,not_applicable,"state_line,role,W120_event_id,W250_event_id",rows satisfying the numerator and denominator set definitions,"unknown,blocked,ineligible",open events eligible using observed members,own_eligible; overlap metrics use common_W120_W250 within state_line and role,reported diagnostic; no directional hard gate,disclosure or derived-gate input,return null and null_reason; hard-gate inputs fail closed
