task_id,run_id,code_commit,step_id,anchor_state,target_dimension,child_state,required_dimensions,W,q,year,N,n11,n10,n01,n00,anchor_true_count,anchor_false_count,target_true_count,target_false_count,child_true_count,retention,target_marginal_rate,nonanchor_target_rate,association_lift,absolute_increment,delta_nonanchor,step_denominator_year_share,anchor_year_share,child_year_share,step_status,warnings,partial_year_observation
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",120,0.2,2026,91202,2749,5169,12447,70837,7918,83284,15196,76006,2749,0.3471836322303612,0.16661915308874806,0.1494524758657125,2.0836958164433668,0.18056447914161314,0.1977311563646487,0.058329783736836116,0.024688971344828663,0.01895430695083188,computed,partial_year_observation,True
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",250,0.2,2016,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,undefined_denominator,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",250,0.2,2017,78284,4073,5786,7933,60492,9859,68425,12006,66278,4073,0.41312506339385335,0.1533646722190997,0.11593715747168433,2.6937433335602545,0.2597603911747537,0.29718790592216904,0.053603647710286674,0.03422740970129563,0.030675955563923933,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",250,0.2,2018,128438,6284,7835,17072,97247,14119,114319,23356,105082,6284,0.4450740137403499,0.1818464940282471,0.14933650574270244,2.4475259537927325,0.2632275197121028,0.2957375079976474,0.08794575270315518,0.04901681687519962,0.047328186782150256,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",250,0.2,2019,140488,19540,22559,14627,83762,42099,98389,34167,106321,19540,0.46414404142616217,0.24320226638574113,0.1486649930378396,1.9084692273795965,0.22094177504042103,0.3154790483883226,0.09619678682135244,0.14615475413478496,0.14716625870834119,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",250,0.2,2020,147514,7869,9443,18797,111405,17312,130202,26666,120848,7869,0.4545402033271719,0.18076928291551989,0.14436798205864734,2.5144769951850456,0.27377092041165196,0.3101722212685245,0.10100772173541502,0.06010192887197789,0.05926567501412163,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",250,0.2,2021,156731,13164,17262,20261,106044,30426,126305,33425,123306,13164,0.43265628081246305,0.21326348967338943,0.16041328530145282,2.0287405100379403,0.21939279113907362,0.2722429955110102,0.10731890691943362,0.10562969546319312,0.09914517040105442,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",250,0.2,2022,168340,16147,19551,21517,111125,35698,132642,37664,130676,16147,0.4523222589500812,0.22373767375549483,0.16221860345893457,2.0216633674505275,0.22858458519458638,0.29010365549114664,0.11526797373089852,0.12393245476385552,0.12161174919977405,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",250,0.2,2023,177739,29141,31762,20762,96074,60903,116836,49903,127836,29141,0.47848217657586656,0.2807656170002082,0.17770207812660482,1.7042050294054052,0.19771655957565837,0.30078009844926173,0.12170378034309237,0.21143644720945412,0.21947655808698927,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",250,0.2,2024,183635,6488,8816,23051,145280,15304,168331,29539,154096,6488,0.4239414532148458,0.16085713507773572,0.13693853182123317,2.635515378350933,0.2630843181371101,0.2870029213936126,0.1257409668294734,0.05313077168765883,0.0488646205987573,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",250,0.2,2025,188429,27744,28016,22899,109770,55760,132669,50643,137786,27744,0.4975609756097561,0.26876436217355076,0.17260249191597132,1.851290742514676,0.22879661343620533,0.32495848369378477,0.1290235774155844,0.19358153615419865,0.20895499905855772,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,C_GIVEN_P,P,C,S_PC,"P,C",250,0.2,2026,90825,2325,4239,9699,74562,6564,84261,12024,78801,2325,0.35420475319926875,0.1323864574731627,0.11510663296186847,2.675536153470025,0.22181829572610606,0.2390981202374003,0.06219088579130841,0.022788185138381635,0.01751082658633026,computed,partial_year_observation,True
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",120,0.2,2016,27827,1608,4670,2156,19393,6278,21549,3764,24063,1608,0.25613252628225547,0.13526431163977432,0.10005104645227157,1.8935706187184707,0.12086821464248115,0.15608147982998388,0.017797229140204585,0.04328670026821482,0.04040201005025126,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",120,0.2,2017,120518,2818,7065,16305,94330,9883,110635,19123,101395,2818,0.2851360922796722,0.1586733931860801,0.14737650833822932,1.7970000297736513,0.1264626990935921,0.13775958394144286,0.0770793280453939,0.06814311225721043,0.07080402010050252,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",120,0.2,2018,134378,2853,7251,18962,105312,10104,124274,21815,112563,2853,0.28236342042755347,0.16234056169908764,0.1525821974025138,1.739327605327242,0.12002285872846583,0.12978122302503967,0.08594372578439687,0.06966690339439989,0.07168341708542714,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",120,0.2,2019,144350,4740,14089,16537,108984,18829,125521,21277,123073,4740,0.2517393382548197,0.14739868375476273,0.13174687900829343,1.7078805036933413,0.10434065450005697,0.11999245924652627,0.09232148727453666,0.12982562589203836,0.11909547738693467,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",120,0.2,2020,151961,2858,7311,21213,120579,10169,141792,24071,127890,2858,0.28105025076212015,0.15840248484808603,0.14960646580907244,1.7742793052246495,0.12264776591403412,0.1314437849530477,0.09718923122775107,0.07011507725827915,0.07180904522613066,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",120,0.2,2021,162826,3707,10295,20673,128151,14002,148824,24380,138446,3707,0.26474789315812025,0.149730387038925,0.13890904692791486,1.768164087422645,0.11501750611919526,0.1258388462302054,0.10413812599212821,0.09654354526211276,0.09314070351758794,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",120,0.2,2022,172988,5082,12076,21859,133971,17158,155830,26941,146047,5082,0.2961883669425341,0.15573912641339283,0.14027465828146057,1.9018237341099102,0.14044924052914126,0.1559137086610735,0.11063740520019084,0.1183041100990809,0.12768844221105527,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",120,0.2,2023,181754,5979,16892,21436,137447,22871,158883,27415,154339,5979,0.2614227624502645,0.15083574501799135,0.13491688852803635,1.7331618736598715,0.11058701743227317,0.12650587392222817,0.11624384896498882,0.1576951452428068,0.15022613065326634,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",120,0.2,2024,186108,2669,6082,27339,150018,8751,177357,30008,156100,2669,0.3049937150039995,0.16123971027575387,0.15414672102031496,1.8915545958399207,0.14375400472824565,0.15084699398368456,0.11902852340623117,0.060337992043190174,0.0670603015075377,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",120,0.2,2025,189646,6695,17544,21407,144000,24239,165407,28102,161544,6695,0.27620776434671396,0.14818134840703204,0.12942015755076872,1.8639846871146866,0.12802641593968192,0.14678760679594524,0.12129131122734174,0.16712748133183483,0.16821608040201005,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",120,0.2,2026,91202,791,1958,12142,76311,2749,88453,12933,78269,791,0.2877409967260822,0.14180610074340474,0.13727064090533955,2.029115780051972,0.14593489598267748,0.15047035582074267,0.058329783736836116,0.01895430695083188,0.019874371859296483,computed,partial_year_observation,True
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",250,0.2,2016,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,undefined_denominator,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",250,0.2,2017,78284,1181,2892,10681,63530,4073,74211,11862,66422,1181,0.2899582617235453,0.15152521588063972,0.1439274501084745,1.9135974170263041,0.13843304584290556,0.14603081161507078,0.053603647710286674,0.030675955563923933,0.034118156868409646,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",250,0.2,2018,128438,1788,4496,18591,103563,6284,122154,20379,108059,1788,0.28453214513049013,0.15866799545305907,0.15219313325801856,1.79325480427253,0.12586414967743106,0.13233901187247157,0.08794575270315518,0.047328186782150256,0.05165390726563628,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",250,0.2,2019,140488,4700,14840,15193,105755,19540,120948,19893,120595,4700,0.240532241555783,0.14159928250099652,0.12561596719251247,1.6986826296530864,0.0989329590547865,0.11491627436327054,0.09619678682135244,0.14716625870834119,0.13577928643651596,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",250,0.2,2020,147514,2235,5634,20836,118809,7869,139645,23071,124443,2235,0.28402592451391534,0.15639871469826594,0.1492069175409073,1.8160374595269257,0.1276272098156494,0.13481900697300803,0.10100772173541502,0.05926567501412163,0.06456738408204536,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",250,0.2,2021,156731,3030,10134,18800,124767,13164,143567,21830,134901,3030,0.2301731996353692,0.1392832305032189,0.13094931286437692,1.6525550046748076,0.0908899691321503,0.09922388677099228,0.10731890691943362,0.09914517040105442,0.08753430593673263,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",250,0.2,2022,168340,4460,11687,20579,131614,16147,152193,25039,143301,4460,0.27621229949835885,0.14874064393489367,0.13521646856294312,1.8570062102142149,0.12747165556346518,0.14099583093541573,0.11526797373089852,0.12161174919977405,0.1288458760652896,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",250,0.2,2023,177739,7212,21929,19247,129351,29141,148598,26459,151280,7212,0.2474863594248653,0.148864346035479,0.12952395052423316,1.6624958629508346,0.09862201338938631,0.11796240890063214,0.12170378034309237,0.21947655808698927,0.20834898165535173,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",250,0.2,2024,183635,2058,4430,25547,151600,6488,177147,27605,156030,2058,0.31720098643649813,0.15032537370327007,0.14421356274732283,2.110096111004033,0.16687561273322807,0.1729874236891753,0.1257409668294734,0.0488646205987573,0.059453993933265926,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",250,0.2,2025,188429,7294,20450,20566,140119,27744,160685,27860,160569,7294,0.26290369088811993,0.14785409889135961,0.12798954476148988,1.7781292020946715,0.11504959199676032,0.13491414612663005,0.1290235774155844,0.20895499905855772,0.21071789686552073,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,T_GIVEN_PC,S_PC,T,S_PCT,"P,C,T",250,0.2,2026,90825,657,1668,11521,76979,2325,88500,12178,78647,657,0.28258064516129033,0.1340820258739334,0.130180790960452,2.1075207009996872,0.14849861928735694,0.15239985420083835,0.06219088579130841,0.01751082658633026,0.018980210891232124,computed,partial_year_observation,True
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",120,0.2,2016,18593,97,746,1728,16022,843,17750,1825,16768,97,0.11506524317912219,0.0981552197063411,0.09735211267605634,1.1722783925640652,0.01691002347278109,0.017713130503065846,0.012034031591517344,0.02174922600619195,0.00900817236255572,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",120,0.2,2017,118950,750,2031,20724,95445,2781,116169,21474,97476,750,0.2696871628910464,0.1805296343001261,0.17839526896159905,1.4938664443461844,0.08915752859092027,0.09129189392944734,0.07698854718501523,0.07174922600619195,0.06965081723625557,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",120,0.2,2018,133772,960,1871,25994,104947,2831,130941,26954,106818,960,0.33910279053338044,0.2014920910205424,0.19851688928601433,1.6829583176979805,0.13761069951283803,0.1405859012473661,0.08658185736892691,0.07303921568627451,0.08915304606240713,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",120,0.2,2019,143500,1219,3481,20291,118509,4700,138800,21510,121990,1219,0.2593617021276596,0.14989547038327525,0.14618876080691642,1.7302837868581662,0.10946623174438433,0.11317294132074315,0.09287815486380567,0.12125902992776058,0.11320579494799406,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",120,0.2,2020,150783,960,1872,19771,128180,2832,147951,20731,130052,960,0.3389830508474576,0.13748897422123182,0.13363208089164655,2.4655289834514593,0.2014940766262258,0.20535096995581106,0.09759196393609207,0.07306501547987616,0.08915304606240713,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",120,0.2,2021,161119,1138,2517,25685,131779,3655,157464,26823,134296,1138,0.3113543091655267,0.1664794344552784,0.16311664888482447,1.8702268552526,0.1448748747102483,0.14823766028070223,0.10428178002440074,0.09429824561403509,0.10568350668647845,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",120,0.2,2022,171912,1557,3497,33839,133019,5054,166858,35396,136516,1557,0.30807281361297983,0.20589603983433385,0.20280118424049193,1.4962541963451967,0.10217677377864598,0.10527162937248791,0.11126738229231053,0.1303921568627451,0.14459509658246658,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",120,0.2,2023,180613,1610,4334,32327,142342,5944,174669,33937,146676,1610,0.2708613728129206,0.18789898844490707,0.18507577188854346,1.441526508762119,0.08296238436801354,0.08578560092437715,0.11689896992624763,0.15335397316821464,0.14951708766716196,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",120,0.2,2024,185581,726,1930,26167,156758,2656,182925,26893,158688,726,0.2733433734939759,0.1449124640992343,0.1430476971436381,1.8862654444050697,0.1284309093947416,0.1302956763503378,0.12011443106466843,0.06852425180598555,0.06742199108469539,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",120,0.2,2025,189174,1521,5154,29124,153375,6675,182499,30645,158529,1521,0.22786516853932584,0.1619937200672397,0.1595844360791018,1.4066296424623406,0.06587144847208615,0.06828073246022404,0.12243994472617126,0.17221362229102166,0.1412518573551263,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",120,0.2,2026,91038,230,559,9755,80494,789,90249,9985,81053,230,0.2915082382762991,0.1096794745051517,0.10808984033064079,2.657819428762916,0.18182876377114743,0.18341839794565834,0.05892293702084419,0.020356037151702786,0.02135958395245171,computed,partial_year_observation,True
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",250,0.2,2016,0,0,0,0,0,0,0,0,0,0,,,,,,,0.0,0.0,0.0,undefined_denominator,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",250,0.2,2017,68321,248,860,10223,56990,1108,67213,10471,57850,248,0.22382671480144403,0.15326180822880228,0.15209855236338207,1.4604206839795106,0.07056490657264175,0.07172816243806196,0.04736580117192591,0.032293791897406006,0.03155216284987277,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",250,0.2,2018,127605,525,1247,22079,103754,1772,125833,22604,105001,525,0.29627539503386,0.17714039418518082,0.17546271645752703,1.672545646049182,0.1191350008486792,0.12081267857633299,0.08846640210979942,0.05164675021859516,0.06679389312977099,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",250,0.2,2019,139621,1048,3619,16928,118026,4667,134954,17976,121645,1048,0.2245553889007928,0.12874854069230274,0.12543533352105163,1.7441392942655536,0.09580684820849006,0.09912005537974117,0.09679689298203287,0.13602448265811717,0.13333333333333333,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",250,0.2,2020,146536,546,1650,13000,131340,2196,144340,13546,132990,546,0.24863387978142076,0.09244144783534422,0.09006512401274767,2.689636365543354,0.15619243194607654,0.15856875576867308,0.10159094627609865,0.06400466336345088,0.06946564885496183,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",250,0.2,2021,155197,743,2244,17415,134795,2987,152210,18158,137039,743,0.24874455975895549,0.11699968427224754,0.11441429603836804,2.1260276154262923,0.13174487548670794,0.13433026372058743,0.10759547202879621,0.08705916642378315,0.094529262086514,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",250,0.2,2022,167224,1169,3264,28565,134226,4433,162791,29734,137490,1169,0.2637040378975863,0.17780940534851455,0.1754703884121358,1.4830713672356888,0.08589463254907173,0.08823364948545048,0.11593358901617569,0.12920431361119208,0.14872773536895675,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",250,0.2,2023,176344,1757,5403,28203,140981,7160,169184,29960,146384,1757,0.24539106145251396,0.16989520482692919,0.1667001607717042,1.444367200960685,0.07549585662558478,0.07869090068080978,0.12225633175542078,0.20868551442728067,0.22353689567430027,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",250,0.2,2024,182973,502,1553,17826,163092,2055,180918,18328,164645,502,0.24428223844282237,0.10016778431790482,0.09853082612012072,2.438730576964128,0.14411445412491755,0.14575141232270167,0.12685210605569006,0.059895074322354996,0.0638676844783715,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",250,0.2,2025,187950,1202,6076,18550,162122,7278,180672,19752,168198,1202,0.16515526243473483,0.10509177972865123,0.10267224583776124,1.571533595312293,0.060063482706083596,0.062483016596973584,0.13030257651766625,0.2121247449723113,0.1529262086513995,computed,,False
R1-T09,R1-T09-20260710T1825Z,31e2533adcf1852d55ea8e5f16ac38e0a8453e97,V_GIVEN_PCT,S_PCT,V,S_PCVT,"P,C,T,V",250,0.2,2026,90641,120,534,6379,83608,654,89987,6499,84142,120,0.1834862385321101,0.0717004446111583,0.07088801715803394,2.5590669559607617,0.1117857939209518,0.11259822137407616,0.06283988208639418,0.019061498105508598,0.015267175572519083,computed,partial_year_observation,True
